panel,item,percent
购买前信息清晰度,不清楚（1—2分）,27.0
购买前信息清晰度,一般（3分）,38.0
购买前信息清晰度,比较清楚（4—5分）,29.0
购买前信息清晰度,记不清,6.0
购买后再次查看,再次查看过,30.0
购买后再次查看,未查看/找不到入口,59.5
购买后再次查看,记不清,10.5
